mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid,WKT
740,2,20700,11379459,-1.2375317,-78.6215477,-89,1.67995E+12,3.7,2.4447622,289.6598,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2374507,-78.6215974,-85,1.67995E+12,3.7,2.5208113,328.45447,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2373116,-78.6216733,-80,1.67995E+12,3.8,3.1912427,329.17822,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2370634,-78.6218197,-69,1.67995E+12,4.5,3.1861677,330.99207,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2370073,-78.6218943,-61,1.67995E+12,3.8,2.4716413,303.52164,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.23692,-78.6219862,-63,1.67995E+12,3.7,2.4037402,322.1136,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2366961,-78.622134,-61,1.67995E+12,3.7,3.10788,318.17468,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.236612,-78.6222127,-61,1.67995E+12,3.7,2.9870517,309.7825,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2365138,-78.6222575,-62,1.67995E+12,3.7,2.7766318,321.60437,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2363776,-78.6223537,-75,1.67995E+12,3.8,2.086258,324.97934,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2362588,-78.6224042,-68,1.67995E+12,3.6,2.531601,329.25433,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2361288,-78.622463,-69,1.67995E+12,3.7,3.1520934,341.3293,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2360191,-78.6225128,-76,1.67995E+12,3.8,3.011606,325.1136,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2359214,-78.6225771,-78,1.67995E+12,3.6,1.7276306,326.4587,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.235825,-78.6226521,-78,1.67995E+12,3.7,2.2753105,328.17044,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2357378,-78.6227195,-79,1.67995E+12,3.6,2.5459807,320.20135,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2356543,-78.6227665,-79,1.67995E+12,3.6,2.1922193,317.38852,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2355397,-78.6228009,-83,1.67995E+12,3.7,1.5451138,329.2134,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2354779,-78.6228903,-77,1.67995E+12,3.6,1.2370296,271.7958,LTE,0,,20700,50,,,,
740,2,20700,11386115,-1.2354822,-78.6229628,-79,1.67995E+12,4.5,0.50213003,166.65205,LTE,0,,20700,47,,,,
740,2,20700,11386114,-1.2354802,-78.622965,-79,1.67995E+12,4.5,0.014318537,-2000,LTE,0,,20700,-1,,,,
740,2,20700,11386115,-1.2354838,-78.622965,-79,1.67995E+12,4.1,0.016733324,-2000,LTE,0,,20700,-1,,,,
740,2,20700,11386115,-1.2356228,-78.6231083,-78,1.67995E+12,4.7,2.11844,220.44429,LTE,0,,20700,-1,,,,
740,2,20700,11386115,-1.2357235,-78.6231882,-86,1.67995E+12,3.9,2.479488,230.67227,LTE,0,,20700,-1,,,,
740,2,20700,11386114,-1.235813,-78.6232633,-86,1.67995E+12,3.7,2.5432346,227.43312,LTE,0,,20700,46,,,,
740,2,20700,11386115,-1.235894,-78.6233188,-91,1.67995E+12,3.9,1.3043368,229.25874,LTE,0,,20700,47,,,,
740,2,20700,11386114,-1.235896,-78.6232962,-93,1.67995E+12,3.4,0.5579002,144.64217,LTE,0,,20700,46,,,,
740,2,20700,11379459,-1.2358921,-78.6233109,-94,1.67995E+12,3.8,0.003275499,-2000,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2379558,-78.6222356,-81,1.67995E+12,3.8,0.018049592,-2000,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2376129,-78.6223698,-80,1.67995E+12,4,3.534469,330.93375,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2375293,-78.622463,-71,1.67995E+12,4,3.3957295,309.1444,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2373805,-78.6225861,-63,1.67995E+12,4.1,2.510902,321.6393,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.237227,-78.6226878,-64,1.67995E+12,3.7,3.435687,328.309,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2370863,-78.6228229,-69,1.67995E+12,4,3.875741,321.37054,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2369658,-78.6228847,-64,1.67995E+12,3.8,3.2559178,324.37204,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2367956,-78.6229889,-71,1.67995E+12,3.8,2.5859704,323.94485,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2366731,-78.6230857,-70,1.67995E+12,3.8,3.3287113,323.15414,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2365698,-78.623189,-73,1.67995E+12,3.8,3.373494,318.38284,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2364712,-78.6232527,-75,1.67995E+12,3.8,2.945481,328.63086,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2363952,-78.6233207,-73,1.67995E+12,3.6,2.7749493,325.1998,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2362794,-78.6233905,-78,1.67995E+12,3.7,2.9286704,338.02396,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2361689,-78.623478,-74,1.67995E+12,3.7,3.167072,320.4135,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2360523,-78.6235626,-72,1.67995E+12,3.7,3.2891123,327.14792,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2359301,-78.6236163,-71,1.67995E+12,3.6,3.269623,331.17853,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2357982,-78.6237107,-75,1.67995E+12,3.6,3.4913454,325.44333,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2356802,-78.6238182,-73,1.67995E+12,3.7,3.765711,322.24908,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2355364,-78.6239007,-77,1.67995E+12,3.7,3.836931,337.04337,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2354177,-78.6239571,-71,1.67995E+12,3.7,3.4760635,322.3582,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2352623,-78.624037,-77,1.67995E+12,3.7,3.7971985,328.92438,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2350956,-78.6241509,-78,1.67995E+12,4.2,4.318797,324.05945,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2349379,-78.6242763,-96,1.67995E+12,4.6,4.7902713,324.2557,LTE,0,,20700,50,,,,
740,2,20700,11381762,-1.2347011,-78.6244478,-95,1.67995E+12,3.4,5.3409495,328.1342,LTE,0,,20700,43,,,,
740,2,20700,11379459,-1.2344771,-78.6245913,-96,1.67995E+12,1.9,5.653953,328.6028,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.234287,-78.6246956,-91,1.67995E+12,1.8,4.9995413,329.2549,LTE,0,,20700,50,,,,
740,2,20700,11381761,-1.2342242,-78.6247191,-89,1.67995E+12,1.9,2.839286,353.99188,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2340764,-78.6248366,-80,1.67995E+12,3.7,2.191262,325.16064,LTE,0,,20700,42,,,,
740,2,20700,11379459,-1.2339464,-78.6249416,-87,1.67995E+12,3.7,3.3368168,309.38617,LTE,0,,20700,50,,,,
740,2,20700,11381761,-1.2338654,-78.6250529,-91,1.67995E+12,3.8,3.526591,273.73312,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2339311,-78.6251724,-91,1.67995E+12,4,3.4108193,233.9646,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2340033,-78.6252956,-90,1.67995E+12,4.2,3.302614,236.33105,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2340634,-78.6254167,-87,1.67995E+12,4.2,3.3725364,245.2223,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2341452,-78.6255276,-85,1.67995E+12,4.2,3.2623744,236.22704,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2342136,-78.6256477,-87,1.67995E+12,3.7,3.2665615,241.806,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2342868,-78.625773,-89,1.67995E+12,3.7,3.2204552,238.53436,LTE,0,,20700,42,,,,
740,2,20700,11381761,-1.2343284,-78.6258715,-77,1.67995E+12,3.7,3.1356707,240.22894,LTE,0,,20700,42,,,,
