mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379203,-1.2463594,-78.6296855,-97,1679769208597,6.7,0.275509,7.5357175,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463282,-78.6295418,-98,1679769218303,3.8,1.2088672,66.799255,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462964,-78.6294136,-97,1679769231830,6.3,1.3341455,42.72541,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462415,-78.6293319,-95,1679769240847,5.8,1.2987007,44.04619,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461754,-78.6292211,-95,1679769250364,5.5,1.3717659,41.819874,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461765,-78.6291303,-74,1679769260384,5.9,1.1267426,94.437996,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462496,-78.6290139,-81,1679769269401,5.6,1.4379972,103.504974,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462574,-78.6288729,-91,1679769278419,4.7,1.551934,98.104996,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462216,-78.6287312,-89,1679769287937,3.4,1.4349566,85.78713,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461667,-78.6286081,-86,1679769296954,5.3,1.3474892,73.77658,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.246045,-78.6285367,-96,1679769305971,6.0,1.3353058,39.23046,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2459194,-78.6285212,-98,1679769314989,3.7,1.5303892,9.640847,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2457842,-78.6285285,-92,1679769324507,3.7,1.4884155,4.4754124,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2456831,-78.628479,-96,1679769333625,3.5,1.2824391,27.020037,LTE,0,,20700,32,,,
740,2,20700,11379202,-1.2456354,-78.6284455,-99,1679769338233,5.1,1.1989616,32.78434,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2455759,-78.6283586,-100,1679769347250,5.7,1.1588252,65.410385,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2454779,-78.6282474,-94,1679769356266,5.7,1.573977,47.945633,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2453628,-78.6281814,-94,1679769365283,3.7,1.4949516,32.406845,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2452976,-78.628083,-96,1679769374302,3.3,1.2704467,49.88214,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.245165,-78.6280205,-102,1679769383318,5.9,1.5543779,30.276428,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2450681,-78.627969,-101,1679769392335,4.0,1.4276327,40.172405,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2449532,-78.6279373,-94,1679769401453,5.1,1.2829936,28.109875,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2448479,-78.6277986,-94,1679769414978,5.5,1.3487315,41.303936,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2447733,-78.6276871,-76,1679769423995,5.6,1.264999,59.707092,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2447364,-78.6275421,-91,1679769433513,5.3,1.2012286,70.010284,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2446324,-78.6274601,-96,1679769442530,6.1,0.9868067,49.20132,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2445217,-78.6273909,-93,1679769451548,7.6,1.335443,32.88534,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2444166,-78.6272702,-94,1679769460664,6.3,1.4446687,41.38504,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2443469,-78.6271831,-97,1679769469783,4.6,1.3904923,51.97255,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2442667,-78.627087,-101,1679769478899,4.2,1.2576247,56.369274,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2441991,-78.6269963,-95,1679769487916,5.7,0.9498955,55.14302,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2441808,-78.6268829,-93,1679769496933,5.3,1.0370129,62.926586,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2440981,-78.6267641,-96,1679769506451,5.9,1.1492308,62.734734,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2440046,-78.6267535,-98,1679769510960,6.4,1.0328907,36.315987,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2438924,-78.6266677,-95,1679769519976,6.4,1.2015514,33.165047,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2438147,-78.6265743,-97,1679769529494,5.6,1.103005,48.22479,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.243689,-78.6265117,-97,1679769538512,6.0,1.2822165,37.258686,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2436714,-78.6263796,-96,1679769547528,6.3,1.203909,47.037235,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2436394,-78.6262498,-94,1679769556545,5.8,1.1924316,68.12825,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2435662,-78.626114,-90,1679769565563,5.2,1.4069004,68.50909,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2434833,-78.6260127,-87,1679769574580,5.7,1.2446989,66.16746,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2433847,-78.6259456,-87,1679769583597,6.0,1.4037045,34.087852,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2432791,-78.625866,-89,1679769592714,5.6,1.3778814,29.489061,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2431967,-78.6257814,-87,1679769601731,5.8,1.3741704,35.73596,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2430964,-78.6256697,-96,1679769615256,6.4,1.0980743,29.181267,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2430116,-78.6255519,-95,1679769624373,5.7,1.2958145,43.866806,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2429284,-78.6254403,-96,1679769633390,5.5,1.3551738,53.028576,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.242862,-78.6253763,-98,1679769642407,5.3,1.0462973,49.19503,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.242792,-78.625261,-98,1679769655934,5.0,0.83447087,43.77045,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2426679,-78.6250888,-103,1679769669458,5.8,1.2792816,47.562195,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2425786,-78.6249768,-102,1679769678475,5.7,1.2419195,52.95228,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.242493,-78.6248929,-101,1679769687593,5.2,0.9863178,40.21641,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2424053,-78.6247979,-95,1679769696610,5.0,1.1532918,47.945095,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2423038,-78.6246729,-95,1679769705627,4.9,1.3797475,52.368034,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2422047,-78.6245739,-99,1679769714744,5.7,1.4707844,49.287617,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2421687,-78.6244091,-104,1679769728771,5.9,1.2184523,60.687214,LTE,0,,20700,31,,,
740,2,20700,11383555,-1.2421212,-78.6243557,-100,1679769733280,6.1,1.3188623,51.10595,LTE,0,,20700,-1,,,
740,2,20700,11388162,-1.242085,-78.6243064,-102,1679769737787,6.2,1.1934506,41.998447,LTE,0,,20700,-1,,,
740,2,20700,11388162,-1.2420027,-78.6242097,-102,1679769746804,5.7,1.3833356,34.90226,LTE,0,,20700,-1,,,
740,2,20700,11388162,-1.2419701,-78.6241154,-105,1679769751314,5.1,1.4664369,45.194344,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2419324,-78.6240532,-103,1679769755821,4.2,1.5047765,48.149837,LTE,0,,20700,31,,,
740,2,20700,11150345,-1.2417875,-78.6240684,-87,1679769764838,3.7,1.2826818,16.420824,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2416188,-78.6240905,-89,1679769773856,5.3,1.4108192,8.235356,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2414661,-78.6241085,-87,1679769783375,3.5,1.3798031,13.716068,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2413508,-78.6241043,-95,1679769796899,5.1,0.81442773,0.076592214,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2411929,-78.6241102,-92,1679769805916,5.4,1.1030608,4.4069695,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2410697,-78.6241224,-91,1679769814934,5.6,1.0876946,353.39114,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2409408,-78.624058,-93,1679769824151,5.5,1.122561,8.3578415,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2406994,-78.6240424,-93,1679769842386,5.0,1.0181472,0.5006619,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2405772,-78.6239688,-95,1679769851403,4.0,1.2771595,24.44739,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2404104,-78.6239304,-92,1679769860420,5.4,1.4300112,12.919218,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2402822,-78.6239173,-93,1679769869537,4.1,1.4565005,15.800851,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2401904,-78.6239463,-93,1679769878556,3.6,1.0079855,348.92645,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2400736,-78.6239228,-98,1679769892081,5.0,0.71616566,8.48385,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2399283,-78.6238882,-96,1679769901098,5.3,1.0454797,18.961668,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2397885,-78.6238559,-97,1679769910215,6.0,1.2375293,5.738488,LTE,0,,20700,197,,,
740,2,20700,11155209,-1.2396606,-78.6238083,-99,1679769919232,5.2,1.1802303,13.33004,LTE,0,,20700,470,,,
740,2,20700,11150345,-1.2396156,-78.6237826,-98,1679769923741,5.6,1.074836,18.15878,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2394908,-78.6237305,-96,1679769937268,4.8,1.0715147,21.84986,LTE,0,,20700,197,,,
740,2,20700,11150345,-1.2393451,-78.6237563,-95,1679769946284,5.8,1.2945976,348.5215,LTE,0,,20700,197,,,
740,2,20700,11155209,-1.2392849,-78.6237531,-103,1679769950793,5.7,1.1835351,3.9973247,LTE,0,,20700,470,,,
740,2,20700,11150345,-1.2392194,-78.6237486,-99,1679769955302,5.7,1.2683331,0.9173093,LTE,0,,20700,197,,,
740,2,20700,11155208,-1.2391425,-78.6237337,-100,1679769968928,5.2,0.0027861788,-2000.0,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.239084,-78.6236333,-98,1679769982454,5.0,0.79998314,52.98684,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.238994,-78.6235283,-98,1679769986964,5.4,1.4911944,51.81104,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.2388879,-78.6234532,-95,1679769995980,5.2,0.9530289,51.17015,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.2388212,-78.6233213,-94,1679770004997,4.6,0.9180918,62.338352,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.2387195,-78.6232241,-95,1679770014015,4.9,0.8825961,57.322422,LTE,0,,20700,469,,,
740,2,20700,11155208,-1.2386439,-78.6231445,-96,1679770023133,4.2,0.6555431,56.88187,LTE,0,,20700,469,,,
