mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379203,-1.2463822,-78.629679,-104,1679835348401,21.3,0.90247524,48.13078,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463545,-78.6294247,-101,1679835362755,5.2,2.956411,39.74823,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463483,-78.6291718,-98,1679835367780,3.4,6.5703793,108.27514,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.246409,-78.6288435,-95,1679835372773,3.2,7.0288186,96.09112,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463804,-78.6284905,-97,1679835377771,2.5,7.1107826,82.0348,LTE,0,,20700,32,,,
740,2,20700,11379202,-1.2462598,-78.6281634,-103,1679835382791,2.4,6.7946677,61.495167,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2461006,-78.6278657,-100,1679835387798,2.5,6.7712154,59.114273,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.245979,-78.6276825,-101,1679835392766,2.4,3.4214904,31.506565,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2458079,-78.6277418,-102,1679835397757,2.3,4.277028,324.41104,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2456312,-78.627958,-97,1679835402792,2.5,5.8009176,313.69324,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2454671,-78.6281548,-97,1679835407808,2.8,4.399194,313.668,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2452884,-78.6282255,-97,1679835412794,2.5,2.8082027,17.6525,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2451632,-78.6280312,-103,1679835417774,2.7,5.435395,58.70087,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2448841,-78.6277434,-103,1679835422777,3.0,7.8048005,42.87438,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2445942,-78.6274877,-92,1679835427778,2.7,8.094128,45.409725,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2443678,-78.6272074,-97,1679835432787,2.7,7.1962256,52.618374,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2441627,-78.6269988,-98,1679835437797,2.7,5.1976438,45.748684,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2439896,-78.6268287,-96,1679835442793,2.6,5.1083975,36.563725,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.243917,-78.6267155,-96,1679835447813,2.5,1.5710473,57.501537,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2439412,-78.6265964,-104,1679835467789,3.8,0.065304935,-2000.0,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2438261,-78.6265511,-103,1679835477783,4.3,3.3695862,37.26729,LTE,0,,20700,-1,,,
740,2,20700,11379202,-1.2437086,-78.6264518,-101,1679835507787,2.3,6.096356E-6,-2000.0,LTE,0,,20700,-1,,,
