mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11385858,-1.2330607,-78.6233794,-97,1680116799764,25.8,-2000.0,-2000.0,LTE,0,,20700,79,,,
740,2,20700,11385858,-1.2330483,-78.6238122,-97,1680116804909,4.7,0.21383356,170.78302,LTE,0,,20700,79,,,
740,2,20700,11385858,-1.2329872,-78.6237445,-101,1680116819508,2.1,0.24581051,52.382282,LTE,0,,20700,79,,,
740,2,20700,11386115,-1.2329961,-78.6237624,-97,1680116838275,4.8,0.39727527,59.825714,LTE,0,,20700,47,,,
740,2,20700,11379459,-1.2331752,-78.6236939,-97,1680116851803,5.1,2.3306158,147.56407,LTE,0,,20700,-1,,,
740,2,20700,11386115,-1.2333154,-78.6236089,-98,1680116856312,3.7,3.1442337,151.07204,LTE,0,,20700,47,,,
740,2,20700,11381762,-1.2333616,-78.6235465,-87,1680116861322,4.7,2.2748067,112.02671,LTE,0,,20700,43,,,
740,2,20700,11381761,-1.23337,-78.6235286,-81,1680116865832,3.8,1.1943519,151.56407,LTE,0,,20700,-1,,,
740,2,20700,11381762,-1.2334197,-78.6234872,-86,1680116870341,3.2,1.3561816,136.55623,LTE,0,,20700,-1,,,
740,2,20700,11386115,-1.2335447,-78.6233892,-97,1680116875351,3.5,2.428891,145.13882,LTE,0,,20700,47,,,
740,2,20700,11381762,-1.2336445,-78.6233137,-92,1680116879860,3.6,2.812988,147.57848,LTE,0,,20700,43,,,
740,2,20700,11379459,-1.2337376,-78.6232626,-93,1680116884370,3.7,2.6784618,158.86317,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2338342,-78.6232237,-96,1680116888879,3.6,2.4716887,146.33832,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2339419,-78.6231942,-95,1680116893388,3.6,2.4194093,157.89207,LTE,0,,20700,50,,,
740,2,20700,11386115,-1.2340254,-78.6231486,-90,1680116897897,3.8,2.3840663,134.99493,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2341728,-78.623057,-94,1680116906916,4.2,2.075922,158.11438,LTE,0,,20700,47,,,
